縣市,年度,主要行業,薪資項目,數值
臺東縣,2020,住宿及餐飲業,行業平均(元),464000
臺東縣,2021,零售業,行業平均(元),509000
臺東縣,2022,醫療保健及社會工作服務業,行業平均(元),834000
臺東縣,2023,營建工程業,行業平均(元),512000
花蓮縣,2020,醫療保健及社會工作服務業,行業平均(元),846000
花蓮縣,2021,住宿及餐飲業,行業平均(元),481000
花蓮縣,2022,零售業,行業平均(元),501000
花蓮縣,2023,營建工程業,行業平均(元),527000
澎湖縣,2020,住宿及餐飲業,行業平均(元),486000
澎湖縣,2021,零售業,行業平均(元),569000
澎湖縣,2022,營建工程業,行業平均(元),474000
澎湖縣,2023,醫療保健及社會工作服務業,行業平均(元),875000
基隆市,2020,運輸及倉儲業,行業平均(元),667000
基隆市,2021,零售業,行業平均(元),574000
基隆市,2022,醫療保健及社會工作服務業,行業平均(元),962000
基隆市,2023,營建工程業,行業平均(元),563000
新竹市,2020,資訊電子工業,行業平均(元),1860000
新竹市,2021,批發業,行業平均(元),817000
新竹市,2022,支援服務業,行業平均(元),491000
新竹市,2023,金屬機電工業,行業平均(元),1129000
嘉義市,2020,醫療保健及社會工作服務業,行業平均(元),856000
嘉義市,2021,零售業,行業平均(元),531000
嘉義市,2022,批發業,行業平均(元),472000
嘉義市,2023,住宿及餐飲業,行業平均(元),438000
新北市,2020,批發業,行業中位數(元),510000
新北市,2021,資訊電子工業,行業中位數(元),832000
新北市,2022,金屬機電工業,行業中位數(元),494000
新北市,2023,零售業,行業中位數(元),485000
臺北市,2020,批發業,行業中位數(元),662000
臺北市,2021,金融及保險業,行業中位數(元),1123000
臺北市,2022,出版影音及資通訊業,行業中位數(元),847000
臺北市,2023,專業、科學及技術服務業,行業中位數(元),718000
桃園市,2020,資訊電子工業,行業中位數(元),862000
桃園市,2021,金屬機電工業,行業中位數(元),601000
桃園市,2022,批發業,行業中位數(元),486000
桃園市,2023,運輸及倉儲業,行業中位數(元),727000
臺中市,2020,金屬機電工業,行業中位數(元),469000
臺中市,2021,批發業,行業中位數(元),455000
臺中市,2022,零售業,行業中位數(元),465000
臺中市,2023,資訊電子工業,行業中位數(元),871000
臺南市,2020,金屬機電工業,行業中位數(元),510000
臺南市,2021,資訊電子工業,行業中位數(元),1008000
臺南市,2022,批發業,行業中位數(元),431000
臺南市,2023,民生工業,行業中位數(元),476000
高雄市,2020,金屬機電工業,行業中位數(元),565000
高雄市,2021,批發業,行業中位數(元),442000
高雄市,2022,營建工程業,行業中位數(元),479000
高雄市,2023,零售業,行業中位數(元),467000
宜蘭縣,2020,營建工程業,行業中位數(元),483000
宜蘭縣,2021,住宿及餐飲業,行業中位數(元),467000
宜蘭縣,2022,民生工業,行業中位數(元),492000
宜蘭縣,2023,零售業,行業中位數(元),475000
新竹縣,2020,資訊電子工業,行業中位數(元),1010000
新竹縣,2021,金屬機電工業,行業中位數(元),672000
新竹縣,2022,批發業,行業中位數(元),636000
新竹縣,2023,化學工業,行業中位數(元),708000
苗栗縣,2020,資訊電子工業,行業中位數(元),863000
苗栗縣,2021,金屬機電工業,行業中位數(元),561000
苗栗縣,2022,營建工程業,行業中位數(元),441000
苗栗縣,2023,民生工業,行業中位數(元),545000
彰化縣,2020,金屬機電工業,行業中位數(元),434000
彰化縣,2021,民生工業,行業中位數(元),441000
彰化縣,2022,化學工業,行業中位數(元),499000
彰化縣,2023,批發業,行業中位數(元),383000
南投縣,2020,住宿及餐飲業,行業中位數(元),412000
南投縣,2021,金屬機電工業,行業中位數(元),483000
南投縣,2022,醫療保健及社會工作服務業,行業中位數(元),619000
南投縣,2023,零售業,行業中位數(元),424000
雲林縣,2020,化學工業,行業中位數(元),1008000
雲林縣,2021,民生工業,行業中位數(元),499000
雲林縣,2022,營建工程業,行業中位數(元),389000
雲林縣,2023,金屬機電工業,行業中位數(元),532000
嘉義縣,2020,民生工業,行業中位數(元),492000
嘉義縣,2021,金屬機電工業,行業中位數(元),460000
嘉義縣,2022,化學工業,行業中位數(元),550000
嘉義縣,2023,批發業,行業中位數(元),398000
屏東縣,2020,批發業,行業中位數(元),402000
屏東縣,2021,醫療保健及社會工作服務業,行業中位數(元),598000
屏東縣,2022,零售業,行業中位數(元),426000
屏東縣,2023,金屬機電工業,行業中位數(元),482000
臺東縣,2020,住宿及餐飲業,行業中位數(元),420000
臺東縣,2021,零售業,行業中位數(元),441000
臺東縣,2022,醫療保健及社會工作服務業,行業中位數(元),654000
臺東縣,2023,營建工程業,行業中位數(元),421000
花蓮縣,2020,醫療保健及社會工作服務業,行業中位數(元),667000
花蓮縣,2021,住宿及餐飲業,行業中位數(元),449000
花蓮縣,2022,零售業,行業中位數(元),449000
花蓮縣,2023,營建工程業,行業中位數(元),462000
澎湖縣,2020,住宿及餐飲業,行業中位數(元),448000
澎湖縣,2021,零售業,行業中位數(元),493000
澎湖縣,2022,營建工程業,行業中位數(元),398000
澎湖縣,2023,醫療保健及社會工作服務業,行業中位數(元),685000
基隆市,2020,運輸及倉儲業,行業中位數(元),576000
基隆市,2021,零售業,行業中位數(元),487000
基隆市,2022,醫療保健及社會工作服務業,行業中位數(元),748000
基隆市,2023,營建工程業,行業中位數(元),500000
新竹市,2020,資訊電子工業,行業中位數(元),1379000
新竹市,2021,批發業,行業中位數(元),603000
新竹市,2022,支援服務業,行業中位數(元),466000
新竹市,2023,金屬機電工業,行業中位數(元),916000
嘉義市,2020,醫療保健及社會工作服務業,行業中位數(元),660000
嘉義市,2021,零售業,行業中位數(元),445000
嘉義市,2022,批發業,行業中位數(元),419000
嘉義市,2023,住宿及餐飲業,行業中位數(元),392000
